Div,Date,Team,Oponent,Oponent_FTG,FTG,FTR,Oponent_HTG,HTG,HTR,Referee,Oponent_S,S,Oponent_ST,ST,Oponent_F,F,Oponent_C,C,Oponent_Y,Y,Oponent_R,R,Venue
E0,10/8/18,Man United,Leicester,1,2,WIN,0,1,WIN,A Marriner,13,8,4,6,8,11,5,2,1,2,0,0,HOME
E0,11/8/18,Bournemouth,Cardiff,0,2,WIN,0,1,WIN,K Friend,10,12,1,4,9,11,4,7,1,1,0,0,HOME
E0,11/8/18,Fulham,Crystal Palace,2,0,LOSE,1,0,LOSE,M Dean,10,15,9,6,11,9,5,5,2,1,0,0,HOME
E0,11/8/18,Huddersfield,Chelsea,3,0,LOSE,2,0,LOSE,C Kavanagh,13,6,4,1,8,9,5,2,1,2,0,0,HOME
E0,11/8/18,Newcastle,Tottenham,2,1,LOSE,2,1,LOSE,M Atkinson,15,15,5,2,12,11,5,3,2,2,0,0,HOME
E0,11/8/18,Watford,Brighton,0,2,WIN,0,1,WIN,J Moss,6,19,0,5,16,10,2,8,2,2,0,0,HOME
E0,11/8/18,Wolves,Everton,2,2,DRAW,1,1,DRAW,C Pawson,6,11,5,4,7,8,6,3,1,0,1,0,HOME
E0,12/8/18,Arsenal,Man City,2,0,LOSE,1,0,LOSE,M Oliver,17,9,8,3,14,11,9,2,2,2,0,0,HOME
E0,12/8/18,Liverpool,West Ham,0,4,WIN,0,2,WIN,A Taylor,5,18,2,8,9,14,4,5,2,1,0,0,HOME
E0,12/8/18,Southampton,Burnley,0,0,DRAW,0,0,DRAW,G Scott,16,18,6,3,9,10,5,8,1,0,0,0,HOME
E0,18/08/2018,Cardiff,Newcastle,0,0,DRAW,0,0,DRAW,C Pawson,12,12,6,1,16,14,5,5,2,2,1,0,HOME
E0,18/08/2018,Chelsea,Arsenal,2,3,WIN,2,2,DRAW,M Atkinson,15,24,6,11,9,12,1,5,2,0,0,0,HOME
E0,18/08/2018,Everton,Southampton,1,2,WIN,0,2,WIN,L Mason,15,13,4,7,20,8,5,2,5,0,0,0,HOME
E0,18/08/2018,Leicester,Wolves,0,2,WIN,0,2,WIN,M Dean,11,6,3,2,8,10,9,1,1,2,0,1,HOME
E0,18/08/2018,Tottenham,Fulham,1,3,WIN,0,1,WIN,A Taylor,10,25,3,11,5,9,2,5,0,0,0,0,HOME
E0,18/08/2018,West Ham,Bournemouth,2,1,LOSE,0,1,WIN,S Attwell,12,11,5,5,10,14,4,6,2,6,0,0,HOME
E0,19/08/2018,Brighton,Man United,2,3,WIN,1,3,WIN,K Friend,9,6,3,3,13,16,5,3,1,1,0,0,HOME
E0,19/08/2018,Burnley,Watford,3,1,LOSE,1,1,DRAW,P Tierney,9,8,6,3,19,8,2,5,2,1,0,0,HOME
E0,19/08/2018,Man City,Huddersfield,1,6,WIN,1,3,WIN,A Marriner,5,32,1,14,4,9,3,10,2,0,0,0,HOME
E0,20/08/2018,Crystal Palace,Liverpool,2,0,LOSE,1,0,LOSE,M Oliver,16,8,6,2,13,6,7,6,1,1,0,1,HOME
E0,25/08/2018,Arsenal,West Ham,1,3,WIN,1,1,DRAW,G Scott,13,17,5,10,13,16,2,10,3,1,0,0,HOME
E0,25/08/2018,Bournemouth,Everton,2,2,DRAW,0,0,DRAW,L Probert,11,17,3,5,10,12,2,6,3,0,1,1,HOME
E0,25/08/2018,Huddersfield,Cardiff,0,0,DRAW,0,0,DRAW,M Oliver,14,5,4,1,10,8,7,7,1,0,0,1,HOME
E0,25/08/2018,Liverpool,Brighton,0,1,WIN,0,1,WIN,C Kavanagh,6,22,2,8,14,8,5,8,1,1,0,0,HOME
E0,25/08/2018,Southampton,Leicester,2,1,LOSE,0,0,DRAW,J Moss,8,11,5,5,11,13,3,10,1,1,0,1,HOME
E0,25/08/2018,Wolves,Man City,1,1,DRAW,0,0,DRAW,M Atkinson,18,11,6,2,8,13,9,5,2,1,0,0,HOME
E0,26/08/2018,Fulham,Burnley,2,4,WIN,2,3,WIN,D Coote,12,25,2,12,8,11,4,6,1,2,0,0,HOME
E0,26/08/2018,Newcastle,Chelsea,2,1,LOSE,0,0,DRAW,P Tierney,15,6,3,2,8,16,5,4,1,3,0,0,HOME
E0,26/08/2018,Watford,Crystal Palace,1,2,WIN,0,0,DRAW,A Taylor,9,13,3,5,11,14,3,6,2,4,0,0,HOME
E0,27/08/2018,Man United,Tottenham,3,0,LOSE,0,0,DRAW,C Pawson,9,23,5,5,16,11,2,5,4,2,0,0,HOME
E0,1/9/18,Brighton,Fulham,2,2,DRAW,1,0,LOSE,L Probert,10,15,5,5,14,12,1,7,3,3,0,0,HOME
E0,1/9/18,Chelsea,Bournemouth,0,2,WIN,0,0,DRAW,L Mason,8,24,1,6,7,10,6,7,2,2,0,0,HOME
E0,1/9/18,Crystal Palace,Southampton,2,0,LOSE,0,0,DRAW,M Atkinson,19,20,6,6,12,11,4,7,1,1,0,0,HOME
E0,1/9/18,Everton,Huddersfield,1,1,DRAW,1,1,DRAW,S Attwell,9,11,6,1,14,13,3,4,3,3,0,0,HOME
E0,1/9/18,Leicester,Liverpool,2,1,LOSE,2,0,LOSE,P Tierney,10,12,4,5,12,9,4,4,2,3,0,0,HOME
E0,1/9/18,Man City,Newcastle,1,2,WIN,1,1,DRAW,K Friend,3,24,2,8,13,5,0,4,0,0,0,0,HOME
E0,1/9/18,West Ham,Wolves,1,0,LOSE,0,0,DRAW,C Kavanagh,15,13,6,3,11,10,4,4,1,2,0,0,HOME
E0,2/9/18,Burnley,Man United,2,0,LOSE,2,0,LOSE,J Moss,21,9,9,2,13,7,5,2,3,2,1,0,HOME
E0,2/9/18,Cardiff,Arsenal,3,2,LOSE,1,1,DRAW,A Taylor,17,14,11,3,14,12,9,3,4,3,0,0,HOME
E0,2/9/18,Watford,Tottenham,1,2,WIN,0,0,DRAW,A Marriner,11,7,2,3,8,9,10,3,1,2,0,0,HOME
E0,15/09/2018,Bournemouth,Leicester,2,4,WIN,0,3,WIN,C Pawson,14,10,8,5,15,13,6,4,2,3,1,0,HOME
E0,15/09/2018,Chelsea,Cardiff,1,4,WIN,1,2,WIN,J Moss,6,18,2,7,10,8,4,5,0,0,0,0,HOME
E0,15/09/2018,Huddersfield,Crystal Palace,1,0,LOSE,1,0,LOSE,L Mason,7,15,2,2,17,11,3,5,2,1,0,0,HOME
E0,15/09/2018,Man City,Fulham,0,3,WIN,0,2,WIN,S Attwell,9,28,3,9,7,7,4,10,0,0,0,0,HOME
E0,15/09/2018,Newcastle,Arsenal,2,1,LOSE,0,0,DRAW,L Probert,12,4,2,2,11,13,4,10,0,0,0,0,HOME
E0,15/09/2018,Tottenham,Liverpool,2,1,LOSE,1,0,LOSE,M Oliver,17,11,10,3,16,17,4,5,0,0,0,0,HOME
E0,15/09/2018,Watford,Man United,2,1,LOSE,2,0,LOSE,M Dean,9,14,6,5,11,9,8,6,1,2,1,0,HOME
E0,16/09/2018,Everton,West Ham,3,1,LOSE,2,1,LOSE,M Atkinson,9,16,4,4,12,15,2,4,5,2,0,0,HOME
E0,16/09/2018,Wolves,Burnley,0,1,WIN,0,0,DRAW,A Marriner,7,30,2,7,9,10,2,8,4,2,0,0,HOME
E0,17/09/2018,Southampton,Brighton,2,2,DRAW,0,1,WIN,A Taylor,12,14,4,5,13,10,4,1,3,2,0,0,HOME
E0,22/09/2018,Brighton,Tottenham,2,1,LOSE,1,0,LOSE,C Kavanagh,16,8,7,4,9,15,7,5,1,2,0,0,HOME
E0,22/09/2018,Burnley,Bournemouth,0,4,WIN,0,2,WIN,A Taylor,19,12,5,5,6,17,8,3,0,2,0,0,HOME
E0,22/09/2018,Cardiff,Man City,5,0,LOSE,3,0,LOSE,M Oliver,21,2,10,2,4,6,9,1,1,1,0,0,HOME
E0,22/09/2018,Crystal Palace,Newcastle,0,0,DRAW,0,0,DRAW,A Marriner,6,16,3,4,11,8,5,9,1,1,0,0,HOME
E0,22/09/2018,Fulham,Watford,1,1,DRAW,1,0,LOSE,M Atkinson,11,15,6,3,9,11,8,8,1,2,0,0,HOME
E0,22/09/2018,Leicester,Huddersfield,1,3,WIN,1,1,DRAW,D Coote,9,18,2,8,16,10,1,3,1,2,0,0,HOME
E0,22/09/2018,Liverpool,Southampton,0,3,WIN,0,3,WIN,P Tierney,7,12,1,4,10,7,4,5,2,0,0,0,HOME
E0,22/09/2018,Man United,Wolves,1,1,DRAW,0,1,WIN,K Friend,11,15,8,6,17,5,4,5,1,1,0,0,HOME
E0,23/09/2018,Arsenal,Everton,0,2,WIN,0,0,DRAW,J Moss,9,9,6,5,12,17,9,5,1,2,0,0,HOME
E0,23/09/2018,West Ham,Chelsea,0,0,DRAW,0,0,DRAW,M Dean,17,6,6,1,9,11,8,1,1,2,0,0,HOME
E0,29/09/2018,Arsenal,Watford,0,2,WIN,0,0,DRAW,A Taylor,13,9,4,2,17,11,6,6,2,2,0,0,HOME
E0,29/09/2018,Chelsea,Liverpool,1,1,DRAW,0,1,WIN,A Marriner,13,10,6,4,9,7,4,4,2,0,0,0,HOME
E0,29/09/2018,Everton,Fulham,0,3,WIN,0,0,DRAW,R East,6,19,0,6,13,13,1,12,3,0,0,0,HOME
E0,29/09/2018,Huddersfield,Tottenham,2,0,LOSE,2,0,LOSE,C Pawson,10,9,6,5,16,17,0,3,2,2,0,0,HOME
E0,29/09/2018,Man City,Brighton,0,2,WIN,0,1,WIN,L Mason,4,28,1,8,10,4,3,10,3,0,0,0,HOME
E0,29/09/2018,Newcastle,Leicester,2,0,LOSE,1,0,LOSE,S Hooper,12,6,5,1,5,11,9,5,0,0,0,0,HOME
E0,29/09/2018,West Ham,Man United,1,3,WIN,0,2,WIN,M Oliver,9,8,4,3,12,12,9,4,1,0,0,0,HOME
E0,29/09/2018,Wolves,Southampton,0,2,WIN,0,0,DRAW,S Attwell,17,14,6,6,7,11,6,8,1,3,0,0,HOME
E0,30/09/2018,Cardiff,Burnley,2,1,LOSE,0,0,DRAW,M Atkinson,3,19,2,5,15,11,2,10,3,1,0,0,HOME
