Team,F_mean,F_min,F_max,F_std
Liverpool,8.289473684210526,3,17,3.819635575774369
Man City,8.631578947368421,2,14,3.105540407614847
West Ham,8.710526315789474,2,14,2.57753176232132
Bournemouth,8.921052631578947,3,14,2.6445413330140846
Chelsea,8.921052631578947,5,15,2.5296253215496796
Leicester,9.236842105263158,4,17,3.0882008277917783
Burnley,9.447368421052632,4,17,3.0992358990394284
Tottenham,9.868421052631579,3,19,3.7859702075581336
Cardiff,10.105263157894736,3,17,3.6152041823702845
Crystal Palace,10.157894736842104,5,17,2.765876194581987
Wolves,10.763157894736842,0,23,4.346071295333887
Arsenal,10.842105263157896,3,17,3.1667727266309638
Huddersfield,11.052631578947368,4,20,3.6830317154966496
Southampton,11.052631578947368,5,20,2.9219335362610783
Newcastle,11.105263157894736,5,18,2.729117010794146
Fulham,11.131578947368421,4,18,3.3302142827864
Everton,11.368421052631579,5,19,2.972132300641709
Watford,11.394736842105264,4,21,3.552992447822208
Man United,11.394736842105264,5,18,2.8430995047203518
Brighton,12.18421052631579,4,21,3.6750088299794252
