Div,Team,Oponent,Oponent_HTG,HTG,HTR,Referee,Venue,FTR
E0,Man United,Leicester,0,1,WIN,A Marriner,HOME,WIN
E0,Bournemouth,Cardiff,0,1,WIN,K Friend,HOME,WIN
E0,Fulham,Crystal Palace,1,0,LOSE,M Dean,HOME,LOSE
E0,Huddersfield,Chelsea,2,0,LOSE,C Kavanagh,HOME,LOSE
E0,Newcastle,Tottenham,2,1,LOSE,M Atkinson,HOME,LOSE
E0,Watford,Brighton,0,1,WIN,J Moss,HOME,WIN
E0,Wolves,Everton,1,1,DRAW,C Pawson,HOME,DRAW
E0,Arsenal,Man City,1,0,LOSE,M Oliver,HOME,LOSE
E0,Liverpool,West Ham,0,2,WIN,A Taylor,HOME,WIN
E0,Southampton,Burnley,0,0,DRAW,G Scott,HOME,DRAW
E0,Cardiff,Newcastle,0,0,DRAW,C Pawson,HOME,DRAW
E0,Chelsea,Arsenal,2,2,DRAW,M Atkinson,HOME,WIN
E0,Everton,Southampton,0,2,WIN,L Mason,HOME,WIN
E0,Leicester,Wolves,0,2,WIN,M Dean,HOME,WIN
E0,Tottenham,Fulham,0,1,WIN,A Taylor,HOME,WIN
E0,West Ham,Bournemouth,0,1,WIN,S Attwell,HOME,LOSE
E0,Brighton,Man United,1,3,WIN,K Friend,HOME,WIN
E0,Burnley,Watford,1,1,DRAW,P Tierney,HOME,LOSE
E0,Man City,Huddersfield,1,3,WIN,A Marriner,HOME,WIN
E0,Crystal Palace,Liverpool,1,0,LOSE,M Oliver,HOME,LOSE
E0,Arsenal,West Ham,1,1,DRAW,G Scott,HOME,WIN
E0,Bournemouth,Everton,0,0,DRAW,L Probert,HOME,DRAW
E0,Huddersfield,Cardiff,0,0,DRAW,M Oliver,HOME,DRAW
E0,Liverpool,Brighton,0,1,WIN,C Kavanagh,HOME,WIN
E0,Southampton,Leicester,0,0,DRAW,J Moss,HOME,LOSE
E0,Wolves,Man City,0,0,DRAW,M Atkinson,HOME,DRAW
E0,Fulham,Burnley,2,3,WIN,D Coote,HOME,WIN
E0,Newcastle,Chelsea,0,0,DRAW,P Tierney,HOME,LOSE
E0,Watford,Crystal Palace,0,0,DRAW,A Taylor,HOME,WIN
E0,Man United,Tottenham,0,0,DRAW,C Pawson,HOME,LOSE
E0,Brighton,Fulham,1,0,LOSE,L Probert,HOME,DRAW
E0,Chelsea,Bournemouth,0,0,DRAW,L Mason,HOME,WIN
E0,Crystal Palace,Southampton,0,0,DRAW,M Atkinson,HOME,LOSE
E0,Everton,Huddersfield,1,1,DRAW,S Attwell,HOME,DRAW
E0,Leicester,Liverpool,2,0,LOSE,P Tierney,HOME,LOSE
E0,Man City,Newcastle,1,1,DRAW,K Friend,HOME,WIN
E0,West Ham,Wolves,0,0,DRAW,C Kavanagh,HOME,LOSE
E0,Burnley,Man United,2,0,LOSE,J Moss,HOME,LOSE
E0,Cardiff,Arsenal,1,1,DRAW,A Taylor,HOME,LOSE
E0,Watford,Tottenham,0,0,DRAW,A Marriner,HOME,WIN
E0,Bournemouth,Leicester,0,3,WIN,C Pawson,HOME,WIN
E0,Chelsea,Cardiff,1,2,WIN,J Moss,HOME,WIN
E0,Huddersfield,Crystal Palace,1,0,LOSE,L Mason,HOME,LOSE
E0,Man City,Fulham,0,2,WIN,S Attwell,HOME,WIN
E0,Newcastle,Arsenal,0,0,DRAW,L Probert,HOME,LOSE
E0,Tottenham,Liverpool,1,0,LOSE,M Oliver,HOME,LOSE
E0,Watford,Man United,2,0,LOSE,M Dean,HOME,LOSE
E0,Everton,West Ham,2,1,LOSE,M Atkinson,HOME,LOSE
E0,Wolves,Burnley,0,0,DRAW,A Marriner,HOME,WIN
E0,Southampton,Brighton,0,1,WIN,A Taylor,HOME,DRAW
E0,Brighton,Tottenham,1,0,LOSE,C Kavanagh,HOME,LOSE
E0,Burnley,Bournemouth,0,2,WIN,A Taylor,HOME,WIN
E0,Cardiff,Man City,3,0,LOSE,M Oliver,HOME,LOSE
E0,Crystal Palace,Newcastle,0,0,DRAW,A Marriner,HOME,DRAW
E0,Fulham,Watford,1,0,LOSE,M Atkinson,HOME,DRAW
E0,Leicester,Huddersfield,1,1,DRAW,D Coote,HOME,WIN
E0,Liverpool,Southampton,0,3,WIN,P Tierney,HOME,WIN
E0,Man United,Wolves,0,1,WIN,K Friend,HOME,DRAW
E0,Arsenal,Everton,0,0,DRAW,J Moss,HOME,WIN
E0,West Ham,Chelsea,0,0,DRAW,M Dean,HOME,DRAW
E0,Arsenal,Watford,0,0,DRAW,A Taylor,HOME,WIN
E0,Chelsea,Liverpool,0,1,WIN,A Marriner,HOME,DRAW
E0,Everton,Fulham,0,0,DRAW,R East,HOME,WIN
E0,Huddersfield,Tottenham,2,0,LOSE,C Pawson,HOME,LOSE
E0,Man City,Brighton,0,1,WIN,L Mason,HOME,WIN
E0,Newcastle,Leicester,1,0,LOSE,S Hooper,HOME,LOSE
E0,West Ham,Man United,0,2,WIN,M Oliver,HOME,WIN
E0,Wolves,Southampton,0,0,DRAW,S Attwell,HOME,WIN
